,winery_ID,winery,province_ID
203,131,Adega Cooperativa de Borba,42
204,132,J. Lohr,7
206,133,Courtney Benham,7
207,134,Del Carlo Winery,7
208,135,Delaire Graff,43
209,136,Domaine St Pierre,44
210,137,Eikendal,39
211,138,Famille Perrin,44
212,139,Matarromera,3
213,140,MCV,7
214,141,Mounts,7
215,142,Or Haganuz,45
216,143,Podere Scopetone,26
217,144,Quinta de Foz de Arouce,46
218,145,Robert Mondavi,7
219,146,Samuel Tinon,47
220,147,Sixteen by Twenty,7
221,148,St. Pauls,40
224,149,Mendel,10
225,150,Oldenburg,30
230,151,Bloomer Creek,28
231,152,Andean Sky,10
233,153,Silvan Ridge,1
238,154,D'Arenberg,22
240,155,Domaine du Tariquet,34
244,156,J. & F. Lurton,3
245,157,Finca Las Moras,9
248,158,Amity,1
251,159,Cherry Hill,1
253,160,Cueva de las Manos,10
255,161,Esterlina,7
256,162,Goats do Roam Wine Co.,43
257,163,Graham Beck,43
258,164,Hartenberg,30
259,165,Vignobles 46N118,34
260,166,Willamette Valley Vineyards,1
261,167,Algodon,10
262,168,Beaver Creek,7
264,169,Jardin,30
266,170,Kaiken,10
269,171,Mariell,48
271,172,My Big Fat Greek Wine,49
273,173,O. Fournier,10
275,174,Sottano,10
280,175,Forstreiter,50
282,176,I Giusti e Zanza,26
283,177,J. Christopher,1
284,178,Vina Cobos,10
287,179,Acustic,51
292,180,Domaine Daniel Dugois,25
293,181,Kilikanoon,22
294,182,Finca Sophenia,10
296,183,Ventisquero,16
298,184,Arboleda,35
301,185,Buried Cane,17
305,186,Claudia Springs,7
306,187,Cramele Recas,52
307,188,Domaine Bertagna,20
308,189,Domaine Sigalas,49
311,190,Otto's Constant Dream,53
325,191,Lucas Vineyards,28
327,192,De Martino,55
334,193,Jacquart,19
336,194,Koyle,56
337,195,Chateau Notre Dame du Quatourze,57
338,196,Memoires,58
339,197,Cavas Hill,51
340,198,Antoine Moltes & Fils,5
341,199,Pezzi King,7
342,200,Bellisco,51
343,201,Pura 8,23
344,202,Vina Tarapaca,29
345,203,Chambers Rosewood Vineyards,59
347,204,Robert Weil,60
349,205,Torbreck,22
350,206,Cavallotto,61
351,207,Oremus,62
352,208,Rochioli,7
353,209,Louis Latour,20
356,210,Jasper Hill,59
357,211,Chateau de la Tour,20
358,212,Weingut Hans Bausch,60
359,213,Philippe Colin,20
361,214,Bel Colle,61
362,215,J. Davies,7
364,216,Winderlea,1
365,217,Wakefield,22
366,218,Cantina Terlano,40
368,219,Montresor,63
369,220,Ronco del Gelso,40
371,221,Elena Walch,40
372,222,Gini,63
373,223,Borgo Conventi,40
376,224,Volpe Pasini,40
379,225,La Vis,40
380,226,Lapostolle,23
381,227,Fratelli Zeni,63
382,228,Carmen,16
383,229,Tommasi,63
384,230,San Michele Eppan,40
388,231,Kynsi,7
390,232,Casa Julia,16
391,233,Valdivieso,64
393,234,San Pedro,65
394,235,Undurraga,16
409,236,McGregor,28
410,237,Miles,28
415,238,Red Newt Cellars,28
419,239,Chateau de Callac,15
421,240,Guardian,17
422,241,Kerloo,17
423,242,Kohl,66
424,243,Las Positas,7
425,244,Lieb,28
426,245,Luberri,3
427,246,Macari,28
428,247,Malat,50
429,248,Milbrandt,17
430,249,Ojai,7
431,250,ONX,7
432,251,Pomum,17
433,252,Prospect 772,7
434,253,Revello Fratelli,61
436,254,Tenuta La Marchesa,61
437,255,Trione,7
438,256,Vinos de Arganza,3
440,257,Walla Walla Vintners,17
441,258,Winzer Krems,67
442,259,Wolffer,28
443,260,Dunbar,7
444,261,Eschenhof Holzer,68
445,262,Fattorie Romeo del Castello,4
446,263,Flying Cloud,7
447,264,Gadais Pere et Fils,69
448,265,Andre Brunel,44
449,266,Majolini,70
451,267,Montemercurio,26
453,268,Philippe Fontaine,19
454,269,Pillitteri,71
456,270,Roederer Estate,7
458,271,Bellavista,70
459,272,Chanoine,19
460,273,Chehalem,1
462,274,Henri de Villamont,20
463,275,Vollereaux,19
464,276,Wittmann,6
465,277,Valentina Cubi,63
467,278,Domaine Serene,1
468,279,Dr. Loosen,8
470,280,H. Blin,19
477,281,Chateau Vray Croix de Gay,15
480,282,Sparkman,17
483,283,Cape View,30
484,284,Ken Forrester,39
485,285,Louis Bernard,44
490,286,V&N; Cellars,51
492,287,Zerba Cellars,17
493,288,Insania,17
494,289,Knapp,28
495,290,Lava Cap,7
496,291,Loess,3
497,292,MICA Cellars,7
499,293,Domaine du Grand Cros,58
500,294,El Coto,3
501,295,Fenestra,7
502,296,Gunter Triebaumer,72
504,297,Alain Jaume et Fils,44
505,298,Aleo,3
507,299,Camaraderie,17
509,300,Beringer,7
511,301,Boude Baudin,19
513,302,Conn Creek,7
515,303,D.R. Stephens,7
516,304,Davis Family,7
518,305,Domaine Jeannin-Naltet,20
520,306,Qupe,7
522,307,Rex Hill,1
523,308,Ruby,1
524,309,Structure,17
526,310,Tumwater,1
528,311,Jeaunaux-Robin,19
529,312,Joseph Jewell,7
534,313,Le Vigne,7
535,314,Maximin Grunhaeuser,8
536,315,Northstar,17
537,316,Padis,7
538,317,Paul O'Brien,1
540,318,Flying Goat Cellars,7
542,319,Abbazia di Novacella,40
543,320,Midsummer Cellars,7
545,321,Les Belles Collines,7
546,322,Lutum,7
547,323,Turiya,7
548,324,Iron Horse,7
549,325,Brandini,61
550,326,Artesa,7
551,327,Carlisle,7
552,328,Chateau Vignelaure,58
553,329,Clos d'Argentine,10
554,330,Mas de Cadenet,58
555,331,Passing Time,17
556,332,Resalte,3
557,333,Sanctuary,7
558,334,Terre Rouge,7
559,335,Limerick Lane,7
561,336,Loring Wine Company,7
562,337,Eighty Four,7
564,338,Four Lanterns,7
566,339,World's End,7
567,340,Benegas,10
568,341,W.H. Smith,7
569,342,Alleromb,17
570,343,Ardor,17
571,344,Berryessa Gap,7
572,345,Brezza,61
573,346,Chateau Bois Chantant,15
574,347,Chateau de Campuget,44
575,348,Chateau de l'Aubrade,15
576,349,Chateau de Pressac,15
577,350,Chateau Lafayette Reneau,28
578,351,Chateau Maison Noble Saint Martin,15
579,352,Cupcake,7
580,353,Raconteur,17
581,354,Savage Grace,17
582,355,Seven Falls,17
583,356,Silvertip,7
584,357,Steininger,73
585,358,Stevens,17
586,359,Strauss,74
588,360,Trinity River,7
590,361,Vintage Cowboy,7
592,362,Kontos,17
593,363,Landhaus Mayer,67
594,364,Lavau,44
595,365,L'Ecole No. 41,17
596,366,Lyrarakis,76
598,367,Midnight,7
601,368,Monte Xanic,77
603,369,Peconic Bay Winery,28
604,370,Principe de Viana,3
605,371,Proemio,10
606,372,Quady North,1
608,373,Quinta do Portal,0
609,374,Raptor Ridge,1
613,375,Solar de Pinheiro,78
615,376,Tilia,10
622,377,Coiled,79
624,378,Colter's Creek,79
628,379,Kangarilla Road,22
629,380,Walt,7
630,381,WillaKenzie Estate,1
631,382,Willm,5
632,383,Jean-Marc Bernhard,5
633,384,Yeringberg,59
634,385,Armida,7
635,386,Marques de Murrieta,3
637,387,Biecher & Schaal,5
638,388,Domaines Schlumberger,5
640,389,Foxen,7
642,390,Luis Duarte,32
643,391,Melhill,7
644,392,Niner,7
645,393,Purple Hands,1
646,394,Quinta da Lagoalva de Cima,80
647,395,Quinta do Monte Xisto,0
648,396,Reichsgraf von Kesselstatt,8
649,397,Stone The Crows,7
650,398,Sturm,40
651,399,Kuentz-Bas,5
652,400,Plantagenet,81
653,401,Scratch,7
654,402,Sipp Mack,5
655,403,St. Amant,7
656,404,Stoller,1
657,405,Fable Mountain,43
658,406,Vine Cliff,7
659,407,Va Piano,17
660,408,Y Rousseau,7
661,409,Monte Volpe,7
662,410,Palladino,61
663,411,Paradise Ridge,7
664,412,Pecchenino,61
665,413,Poderi Colla,61
666,414,Poet's Leap,17
667,415,Rafael Cambra,82
668,416,Raphael,28
669,417,Seven Hills,17
670,418,Snoqualmie,17
671,419,Stags' Leap Winery,7
672,420,The Grapes of Roth,28
673,421,The Withers Winery,7
674,422,Truchard,7
675,423,Acacia,7
676,424,Array,17
677,425,Baracchi Riccardo,26
679,426,Barrister,17
680,427,Bodegas Berceo,3
681,428,Bunnell,17
682,429,Castello di Neive,61
683,430,Castello di Querceto,26
684,431,Chateau Ste. Michelle,17
685,432,Cobb,7
686,433,Comm. G. B. Burlotto,61
687,434,Cooper-Garrod,7
688,435,Mosquito Fleet,17
689,436,Nadia,7
690,437,Nittnaus Hans und Christine,27
691,438,Nottingham Cellars,7
692,439,Poggio Argentiera,26
693,440,Pride Mountain,7
694,441,Reyneke,30
695,442,Ruffino,26
696,443,Saint Clair,37
698,444,Woodinville Wine Cellars,17
699,445,Kanonkop,31
700,446,El Enemigo,10
701,447,Chateau d'Esclans,58
702,448,Chateau Riotor,58
705,449,Cloudy Bay,37
706,450,Domaine de la Bastide Blanche,58
708,451,Domaine Sainte-Marie,58
709,452,Dry Creek Vineyard,7
710,453,Dry River,83
711,454,Dutton Estate,7
712,455,Failla,7
713,456,Friedeman,7
714,457,Akarua,84
715,458,Benvenuto de la Serna,10
716,459,Carrick,84
717,460,JCB,58
718,461,Casca Wines,85
719,462,Cave de Vire,20
720,463,Cortes de Cima,32
721,464,Domaine Bousquet,10
723,465,Messias,78
724,466,Mont Sec,86
725,467,Paolo Manzone,61
726,468,Quinta de Pacos,78
727,469,Rascal,1
728,470,Terrazas de Los Andes,9
730,471,Jack's House,7
731,472,Kiwi Cuvee,25
732,473,Domaine Michel Goubard,20
733,474,Domaine Poulleau Pere et Fils,20
734,475,Durigutti,10
735,476,El Esteco,9
736,477,Felten Cellars,7
737,478,Wines & Winemakers,87
738,479,Lagarde,10
739,480,Marchesi di Barolo,61
741,481,Patriarche Pere et Fils,20
742,482,Paul Reitz,20
743,483,Pech Merle,7
744,484,Punset,61
745,485,Ribafreixo,42
746,486,Jacob's Creek,88
748,487,Casa Larga,28
749,488,Cave de Beblenheim,5
759,489,Monte De Oro,7
761,490,Ninquen,12
762,491,Oro de Castilla,3
763,492,Pablo del Villar,3
766,493,42°S,89
767,494,Manyana,3
768,495,McWilliam's Hanwood Estate,88
770,496,G. H. Mumm,19
772,497,Jean Milan,19
773,498,Monte da Penha,42
774,499,Patton Valley,1
776,500,Pierre Gimonnet et Fils,19
778,501,Adelsheim,1
779,502,Bruno Paillard,19
784,503,Quinta do Sagrado,0
785,504,San Pedro de Yacochuya,9
786,505,Sobredos,0
787,506,St. Supery,7
789,507,Von Schleinitz,8
790,508,Barnard Griffin,17
791,509,Beacon Hill,1
792,510,Bernard Magrez,15
793,511,Brian Carter Cellars,17
794,512,Buttonwood,7
795,513,Chateau Corbin,15
796,514,Chateau Haut-Logat,15
797,515,Chateau La Branne,15
798,516,Chateau Mayne Vieil,15
799,517,Chateau Mille-Roses,15
800,518,Chessman,7
801,519,Deerfield Ranch,7
802,520,Domaine Franck Besson,13
803,521,Efeste,17
805,522,Firesteed,1
806,523,Iron Hub,7
807,524,Kooyong,59
808,525,Moncaro,18
809,526,Finca Constancia,33
810,527,Aiken,7
811,528,Castell,90
812,529,Donkey & Goat,7
815,530,Finn Hill,17
816,531,Keuka Spring,28
817,532,La Playa,12
818,533,Les Vins Aujoux,13
819,534,Mont Gravet,34
820,535,Navardia,3
821,536,Pata Negra,51
822,537,Ridolfi,26
823,538,Still Waters,7
824,539,Stomping Ground,7
825,540,Tenuta Poggio il Castellare,26
826,541,Tenuta San Giorgio,26
827,542,Terrapura,54
828,543,Clos Troteligotte,34
829,544,Columbia Winery,17
830,545,Domaine de Thulon,13
831,546,Domaine du Haut-Poncie,13
833,547,Dosio,61
835,548,Georges Duboeuf,13
836,549,Juve y Camps,51
841,550,Leaping Horse,7
842,551,Manoir du Carra,13
843,552,Maryhill,17
844,553,Cottanera,4
846,554,Domaine Barmes-Buecher,5
847,555,Domaine Bott-Geyl,5
849,556,Domaine Faiveley,20
850,557,Domaine Jacques Prieur,20
852,558,Domaine Roland Schmitt,5
853,559,Dr. H. Thanisch (Erben Thanisch),8
854,560,Easton,7
855,561,Edna Valley Vineyard,7
856,562,Fattoria La Rivolta,21
857,563,Fess Parker,7
859,564,Foretell,7
860,565,Gershon Bachus,7
861,566,Graci,4
862,567,Tornatore,4
863,568,West of Temperance,7
864,569,Winzergenossenschaft Mayschoss-Altenahr,91
866,570,Beresford,22
867,571,Carabella,1
869,572,Casa Dumetz,7
870,573,Greenwood Ridge,7
871,574,Herencia,7
872,575,J. Scott Cellars,1
873,576,Chateau Dereszla,62
874,577,Quinta do Vallado,0
876,578,Vall Llach,51
878,579,Chateau Bel-Air Ortet,15
879,580,Chateau Ferriere,15
881,581,Fuentes,51
886,582,Loup Blanc,57
887,583,Maritavora,0
888,584,Owen Roe,17
892,585,Bergevin Lane,17
893,586,Hungerford Hill,88
896,587,Leonesse Cellars,7
897,588,Market Vineyards,17
900,589,Morlanda,51
902,590,Becker,86
903,591,Bex,92
904,592,Boffa,61
905,593,Brennan,86
907,594,Casa de Vilacetinho,78
908,595,Cascina Bruciata,61
910,596,Antucura,10
911,597,Frederic Brouca,25
912,598,Fullerton,1
914,599,Graffigna,9
915,600,Coelho,1
917,601,Deltetto,61
918,602,Diego Conterno,61
921,603,Falua,80
923,604,Fiuza,80
924,605,Sidewood,22
926,606,Antonio Mas,10
927,607,Aveleda,78
928,608,Battaglio,61
929,609,Bella Grace,7
930,610,Bodega Calle,10
931,611,Borgogno F.lli Serio e Battista,61
932,612,Chateau les Petits Arnauds,15
933,613,Chateau Mougneaux,15
934,614,Chateau Saintongey,15
935,615,Chateau Segonzac,15
938,616,Covila,3
939,617,Cuda Ridge Wines,7
940,618,Dumenil,19
941,619,Ego Bodegas,82
942,620,Ektimo Vineyards,7
943,621,Finca del Marquesado,3
944,622,Folin Cellars,1
945,623,Francis Coppola,7
946,624,Frank Family,7
947,625,Real Companhia Velha,0
948,626,Santos & Seixo,32
949,627,Travaglini,61
951,628,Yorkville Cellars,7
952,629,Agusti­ Torello Mata,51
953,630,Amalie Robert,1
954,631,Archgate Cellars,7
955,632,Bersano,61
956,633,Cantine di Marzo,21
957,634,Carica,7
958,635,Ignacio Mari­n,3
960,636,Chateau Cap Saint-Martin,15
961,637,Chateau de Bel,15
962,638,Vranken,19
963,639,Chateau Pavillon de Boyrein,15
966,640,Kono,37
967,641,Santa Ema,38
969,642,Morande,16
971,643,Pommery,19
974,644,Covington,17
979,645,Chateau Lamothe-Vincent,15
981,646,Yvon Mau,15
984,647,Byzantium,93
985,648,Pascual Toso,10
988,649,Lachini,1
989,650,Mauro,3
992,651,Domaine des Terrisses,34
994,652,Fournier Pere et Fils,69
998,653,The Four Graces,1
1000,654,Arcane Cellars,1
1002,655,Benton-Lane,1
1003,656,Chateau Puy-Servain,34
1005,657,Domaine Philippe Portier,69
1006,658,Expression 44°,1
1014,659,Brecon Estate,7
1015,660,Callaway,7
1016,661,Casa di Grazia,4
1018,662,Ruhlmann,5
1019,663,Spring Mountain Vineyard,7
1020,664,Stanton Vineyard,1
1022,665,Cusumano,4
1023,666,Dalton,45
1025,667,Dragonette,7
1028,668,Gaba do Xil,3
1029,669,Gorka Izagirre,3
1030,670,Grgich Hills,7
1031,671,Linaje Garsea,3
1032,672,Omaka Springs,37
1033,673,Ventana,7
1034,674,Vieil Armand,5
1035,675,Viticultori Associati Canicatti,4
1036,676,Vivera,4
1037,677,WildAire,1
1038,678,Mills Reef,53
1039,679,Pazo Torrado,24
1040,680,Sur de los Andes,10
1041,681,Babich,53
1042,682,Rentas de Fincas,3
1043,683,Setzer,67
1045,684,Honeywood Winery,1
1048,685,Kedar's K'orus,57
1051,686,Marques de Vizhoja,24
1053,687,Finca La Emperatriz,3
1056,688,Graf Hardegg,67
1057,689,Botalcura,64
1060,690,Chateau Belingard,34
1061,691,Clos Teddi,25
1063,692,Ormonde,94
1065,693,Sandeman,95
1066,694,Scott Harvey,7
1067,695,Sea Slopes,7
1068,696,Trisaetum,1
1069,697,Bergstrom,1
1071,698,Mauro Veglio,61
1072,699,Pocas,0
1073,700,Quinta do Vesuvio,95
1074,701,Schild Estate,22
1075,702,Shafer,7
1076,703,Alphonse Mellot,69
1077,704,Ascheri,61
1079,705,Big Table Farm,1
1082,706,Horsepower,1
1084,707,Chateau de Parnay,69
1085,708,Tres Sabores,7
1087,709,Williams Selyem,7
1088,710,Cayuse,1
1089,711,Chappellet,7
1090,712,Churchill's,95
1092,713,Dion,1
1093,714,Domaine Bernard Fleuriet et Fils,69
1094,715,Drouhin Oregon Roserock,1
1096,716,Santa Alicia,16
1098,717,Rutherford Ranch,7
1099,718,Sextant,7
1102,719,Landmark,7
1103,720,Mercer,17
1104,721,Michel Gassier,44
1105,722,Nada Fiorenzo,61
1106,723,Barrage Cellars,17
1108,724,Bonny Doon,7
1109,725,Carpineto,26
1110,726,Casajus,3
1111,727,Castellroig,51
1112,728,Chateau d'Or et de Gueules,44
1114,729,Citille di Sopra,26
1115,730,Condado de Oriza,3
1116,731,Cookies & Cream,7
1117,732,Daou,7
1118,733,Dei,26
1119,734,Domaine de Gensac,34
1120,735,Domaine Rolet Pere et Fils,25
1122,736,Three Brothers,28
1123,737,Wilridge,17
1125,738,Belden Barns,7
1126,739,Chateau du Retout,15
1127,740,Chateau la Gravette Lacombe,15
1130,741,In Re,7
1131,742,Chasing Venus,37
1132,743,Chateau les Joyeuses,15
1133,744,Chateau Monfort Bellevue,15
1134,745,Chateau Vrai Caillou,15
1135,746,Concha y Toro,96
1136,747,Experience,7
1137,748,Cantine Grasso,4
1139,749,Madrigal,7
1140,750,Millbrook,28
1141,751,Santa Rita,29
1142,752,Scotto Family Cellars,7
1143,753,Spicy Vines,7
1145,754,Les Vignerons Reunis de Monsegur,15
1149,755,Chateau les Lattes,15
1151,756,Ports of New York,28
1152,757,Whitman Cellars,17
1153,758,Winkler-Hermaden,97
1154,759,Fire Block,22
1155,760,Palivou,98
1156,761,Felsner,50
1160,762,Tsantali,99
1168,763,Lost River,17
1170,764,Trapiche,10
1171,765,Louis Guntrum,6
1174,766,Rutini,10
1175,767,Schloss Halbturn,27
1178,768,Zolo,10
1179,769,Bailly-Lapierre,20
1180,770,Balo,7
1183,771,Boasso,61
1184,772,Broccardo,61
1185,773,Casa Agricola Santos Jorge,42
1186,774,Cave des Vignerons de Buxy,20
1187,775,Chamlija,100
1188,776,Chateau de Fuisse,20
1189,777,Chateau de Santenay,20
1190,778,Chime,7
1191,779,Christophe Cordier,20
1192,780,Famille Laplace,25
1193,781,Finca Lalande,10
1194,782,Altos Las Hormigas,10
1196,783,Aubichon Cellars,1
1198,784,Ben Haines,59
1200,785,Blue Fish,101
1201,786,Bouchard Pere & Fils,20
1203,787,Cambridge & Sunset,7
1205,788,Cascina Chicco,61
1208,789,Quinta da Foz,0
1210,790,St. Francis,7
1211,791,Tamber Bey,7
1212,792,Tantara,7
1213,793,Westerly,7
1214,794,Aesthete,7
1215,795,Bacalhoa Wines of Portugal,0
1216,796,Barton,7
1217,797,Bava,61
1218,798,Bucci,18
1219,799,Central Coast Group Project,7
1220,800,Chateau Tour Grand Faurie,15
1222,801,Hecho por Ruben,7
1224,802,J. Portugal Ramos,42
1225,803,Judd's Hill,7
1226,804,Longboard,7
1227,805,Piro,7
1228,806,Point & Line,7
1229,807,Secret Spot Wines,0
1231,808,White Hart Wine,7
1233,809,Balletto,7
1234,810,Bien Nacido,7
1235,811,Bodega de Edgar,7
1236,812,Cambria,7
1238,813,Barriere Freres,15
1240,814,Chateau la Grande Barthe,15
1242,815,Danie de Wet,102
1243,816,Dr. Wehrheim,101
1245,817,Mulderbosch,30
1247,818,Rietvallei Estate Wine,102
1248,819,Sol Duc,17
1249,820,Horan Estates,17
1251,821,Leo,101
1252,822,Villa Wolf,101
1253,823,Washington Hills,17
1255,824,Guardian Peak,30
1257,825,Cameron Hughes,3
1259,826,Venta Morales,33
1262,827,Hannah Nicole Vineyards,7
1263,828,Hosmer,28
1265,829,Barkan,103
1266,830,Black Star Farms,2
1269,831,Lusco,24
1271,832,Michael David,7
1280,833,Bodegas Fontana,33
1281,834,Bodegas Penafiel,3
1282,835,Brotherhood,28
1285,836,Dashwood,37
1286,837,Feudi di San Gregorio,21
1287,838,Ghost Waltz,7
1288,839,Griesbauerhof,40
1289,840,Gustav Adolf Schmitt,6
1290,841,Cantina Produttori San Michele Appiano,40
1292,842,Cembra,40
1293,843,Cliff Lede,7
1294,844,Clos Figueras,51
1295,845,Consilience,7
1296,846,Domaines Landron,69
1297,847,Cave du Vin Blanc de Morgex et de la Salle,104
1298,848,Cedar Creek,7
1299,849,Colterenzio,40
1300,850,Demetria,7
1301,851,Domaine de l'Ermitage,69
1302,852,Domaine de Rome,69
1303,853,Domdechant Werner,60
1304,854,Dr. Fischer,8
1305,855,Osborne,105
1306,856,Pinord,51
1308,857,Quintas de Melgaco,78
1309,858,Rosenblum,7
1311,859,Summers,7
1312,860,Tenuta Peter Solva & Sohne,40
1314,861,Tiefenbrunner,40
1315,862,Tramin,40
1316,863,Vesevo,21
1317,864,Viszlay Vineyards,7
1319,865,Yealands,106
1320,866,Zahel,107
1321,867,Albet I Noya,51
1322,868,Allram,73
1323,869,Alta Alella,51
1324,870,Ampelos,7
1325,871,Ascencion,7
1326,872,Baigorri,3
1328,873,Challen,7
1329,874,Chateau Coutinel,34
1330,875,Chateau Grand Boise,58
1331,876,Chateau le Payral,34
1333,877,Crux,7
1334,878,Damiani,28
1337,879,Di Meo,21
1338,880,Domaine Clos Gautier,58
1339,881,Domaine Harmonie des Arpents,58
1341,882,Domaene Wachau,108
1342,883,Doren,7
1343,884,Ecluse,7
1344,885,Feudo Montoni,4
1345,886,Grizzly Peak,1
1348,887,14 Hands,17
1353,888,Chateau le Grand Verdus,15
1355,889,Flying Trout,17
1356,890,Horeau-Beylot,15
1357,891,Bodegas Artazu,3
1358,892,Burgo Viejo,3
1360,893,Penumbra,7
1365,894,Saint Andre de Figuiere,58
1371,895,Chaddsford,109
1375,896,Mas de la Dame,58
1377,897,Quinta de Ventozelo,0
1378,898,Substance,17
1384,899,Renato Keber,40
1385,900,S.A. Prum,8
1386,901,Schmidt,1
1387,902,Tercic,40
1388,903,August Truth,7
1389,904,Terre Brulee,110
1392,905,Apriori,7
1394,906,Bodega Norton,10
1395,907,Bouchaine,7
1396,908,Brys,2
1397,909,Bulas,95
1398,910,C. von Nell-Breuning,8
1399,911,Caldaro,40
1400,912,Casa da Passarella,111
1401,913,Chateau Grand Traverse,2
1403,914,Manincor,40
1404,915,Mario Schiopetto,40
1405,916,Martin Ray,7
1406,917,Matchbook,7
1407,918,Nals Margreid,40
1409,919,Paratus,7
1410,920,Peter Mertes,8
1412,921,Quinta dos Murcas,95
1413,922,Replica,7
1415,923,Domaine Weinbach,5
1418,924,Dunham,17
1419,925,Tamarack Cellars,17
1424,926,Pamplin,17
1426,927,Riefle,5
1429,928,Buty,17
1431,929,Charles Smith,17
1432,930,Chateau Paradis,58
1433,931,Chateau Salettes,58
1442,932,Judith Beck,27
1443,933,Epoch Estate Wines,7
1444,934,Z. Alexander Brown,7
1445,935,Alain Brumont,34
1446,936,Alex Gambal,20
1447,937,Alves de Sousa,0
1449,938,Chateau La Nerthe,44
1450,939,David Duband,20
1452,940,Le Ragnaie,26
1453,941,Louis Jadot,20
1454,942,Masi,63
1456,943,Freemark Abbey,7
1458,944,Georges Vigouroux,34
1459,945,Grimm's Bluff,7
1460,946,Foradori,40
1461,947,Joseph Phelps,7
1464,948,Mesa Del Sol,7
1465,949,Mouchao,42
1466,950,Pine Ridge,7
1467,951,Sandler,7
1470,952,Tolosa,7
1471,953,Villa Poggio Salvi,26
1472,954,Volker Eisele Family Estate,7
1473,955,TerraNoble,12
1476,956,Arbor Crest,17
1478,957,Wolf Blass,22
1479,958,Chilensis,14
1480,959,Domaines Barons de Rothschild (Lafite),12
1484,960,Barker's Marque,37
1486,961,Bock,113
1490,962,Konrad,37
1492,963,Mana,37
1493,964,Michel Torino,9
1496,965,Santa Julia,10
1506,966,Chateau d'Aydie,34
1507,967,Chateau de Gaudou,34
1512,968,Pascal Aufranc,13
1516,969,Chateau Blaignan,15
